代码,部门名称,农产品,林产品,畜牧产品,渔产品,农、林、牧、渔服务产品,煤炭开采和洗选产品,石油和天然气开采产品,黑色金属矿采选产品,有色金属矿采选产品,非金属矿采选产品,开采辅助活动和其他采矿产品,谷物磨制品,饲料加工品,植物油加工品,糖及糖制品,屠宰及肉类加工品,水产加工品,蔬菜、水果、坚果和其他农副食品加工品,方便食品,乳制品,调味品、发酵制品,其他食品,酒精和酒,饮料,精制茶,烟草制品,棉、化纤纺织及印染精加工品,毛纺织及染整精加工品,麻、丝绢纺织及加工品,针织或钩针编织及其制品,纺织制成品,纺织服装服饰,皮革、毛皮、羽毛及其制品,鞋,木材加工和木、竹、藤、棕、草制品,家具,造纸和纸制品,印刷和记录媒介复制品,工艺美术品,文教、体育和娱乐用品,精炼石油和核燃料加工品,煤炭加工品,基础化学原料,肥料,农药,涂料、油墨、颜料及类似产品,合成材料,专用化学产品和炸药、火工、焰火产品,日用化学产品,医药制品,化学纤维制品,橡胶制品,塑料制品,水泥、石灰和石膏,石膏、水泥制品及类似制品,砖瓦、石材等建筑材料,玻璃和玻璃制品,陶瓷制品,耐火材料制品,石墨及其他非金属矿物制品,钢,钢压延产品,铁及铁合金产品,有色金属及其合金,有色金属压延加工品,金属制品,锅炉及原动设备,金属加工机械,物料搬运设备,泵、阀门、压缩机及类似机械,烘炉、风机、包装等设备,文化、办公用机械,其他通用设备,采矿、冶金、建筑专用设备,化工、木材、非金属加工专用设备,农、林、牧、渔专用机械,医疗仪器设备及器械,其他专用设备,汽车整车,汽车零部件及配件,铁路运输和城市轨道交通设备,船舶及相关装置,其他交通运输设备,电机,输配电及控制设备,电线、电缆、光缆及电工器材,电池,家用器具,其他电气机械和器材,计算机,通信设备,广播电视设备和雷达及配套设备,视听设备,电子元器件,其他电子设备,仪器仪表,其他制造产品,废弃资源和废旧材料回收加工品,金属制品、机械和设备修理服务,电力、热力生产和供应,燃气生产和供应,水的生产和供应,住宅房屋建筑,体育场馆和其他房屋建筑,铁路、道路、隧道和桥梁工程建筑,其他土木工程建筑,建筑安装,建筑装饰、装修和其他建筑服务,批发,零售,铁路旅客运输,铁路货物运输和运输辅助活动,城市公共交通及公路客运,道路货物运输和运输辅助活动,水上旅客运输,水上货物运输和运输辅助活动,航空旅客运输,航空货物运输和运输辅助活动,管道运输,多式联运和运输代理,装卸搬运和仓储,邮政,住宿,餐饮,电信,广播电视及卫星传输服务,互联网和相关服务,软件服务,信息技术服务,货币金融和其他金融服务,资本市场服务,保险,房地产,租赁,商务服务,研究和试验发展,专业技术服务,科技推广和应用服务,水利管理,生态保护和环境治理,公共设施及土地管理,居民服务,其他服务,教育,卫生,社会工作,新闻和出版,广播、电视、电影和影视录音制作,文化艺术,体育,娱乐,社会保障,公共管理和社会组织,农村居民消费支出,城镇居民消费支出,政府消费支出,固定资本形成总额,存货变动,出口,进口,总产出,
01001,农产品,81659022,0,28912192,1003088,6240358,0,0,0,0,0,0,89891080,45826416,42564811,6078784,2924369,119186,50343619,2507505,16154,7654430,19160026,18582273,6861583,10025829,6587966,40972240,207638,4427229,0,1218140,0,0,0,3604995,300371,11483436,0,1397141,473932,0,0,1029760,695373,313599,98161,4014,2615478,488577,22773895,598289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002825,0,0,93349,275,0,4390635,958894,0,0,0,687599,0,0,3311,9462,0,0,0,462,0,0,0,0,69080,0,344421,15508827,486494,0,0,0,0,0,0,0,336444,0,7323434,1930944,802543,337330,8084,190390,9127588,1962533,31021,599442,208372,329217,0,29140,142695,76735,30603,0,0,58031836,100374794,0,0,17363872,14971132,49535074,707889674,
02002,林产品,143,3546732,0,0,285205,203491,2231,4515,11542,14308,119,1964,6383,15491,371,1521,347,124929,390,400,670,54154,11598,29629,3109,3598,20854,140,784,0,0,0,0,275819,25138026,2712076,5592718,0,1156207,139458,13753,2052,0,2325,815,2067,112516,2582940,109186,163415,29259,7680874,0,5803,116723,52734,29759,2475,6683,4704,2506,14970,3151,8242,7756,97312,1125,7120,5027,3020,7739,166,3213,3413,38992,745,1916,34472,16747,9883,3286,6126,3153,9182,5412,3388,3376,42717,3998,0,1478,697,0,0,0,0,211943,0,0,8372,1036,0,7381810,2316988,1255288,607726,94939,1140293,6607,7162,5685,16244,13596,3211,0,652,373,14099,3423,5675,4019,1776,5981,109350,20789,123,823,751,555,55335,8263,3682,497,0,39750,7076,6671,954,1138,60781,128600,50000,3419,12827,0,738,0,456,395,2287,9230,0,0,941565,1586888,0,0,1460569,361492,8124180,60485059,
03003,畜牧产品,149,0,22735172,0,1888112,0,0,0,0,0,0,0,4141,0,0,98188155,0,1484242,77629,14230650,10517,7409723,22463,453355,0,0,112709,8662644,2389516,0,0,0,6357107,0,0,0,0,0,645300,171711,0,0,0,782,0,1,0,2826950,1150,21845668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2236268,0,0,0,0,0,0,0,0,0,0,0,0,0,479,1368,0,0,0,305,0,0,0,0,0,0,23,9931321,0,0,0,0,0,0,0,0,0,0,0,1393026,0,1409,1681,0,0,221517,0,0,24972,0,0,0,0,0,146369,0,0,40914703,68221557,0,17563833,36216039,817553,2317884,364892383,
04004,渔产品,0,0,0,3757309,700123,0,0,0,0,0,0,0,5606715,0,0,173,28086951,780358,90073,0,16452,1262405,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491228,0,0,0,0,0,0,0,0,0,2490,38846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,449,0,0,0,564,0,0,0,0,0,0,0,27957155,0,0,0,0,0,0,0,0,0,0,0,899346,0,852,1355,0,0,0,0,0,42311,0,0,0,0,0,39845,0,0,9857348,50871766,0,13507,-138979,2021496,4284899,128117802,
05005,农、林、牧、渔服务产品,14857171,6999667,773802,4114588,5660937,0,0,0,0,0,0,0,120211,0,0,0,0,341513,0,0,0,0,0,0,0,0,16001045,4470,1355833,0,0,0,0,0,217994,0,211473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19639628,0,0,0,0,70298332,
06006,煤炭开采和洗选产品,346797,35737,71954,48685,98492,36204794,63785,298796,265369,1161289,60513,206948,230313,132141,78989,125215,43503,442426,55333,24561,137873,179980,303007,174436,20288,12436,906402,60137,75771,148417,198290,153915,112958,153597,275930,4156,3369834,29871,11997,7058,201971,21799149,10126762,4591897,359368,328731,1559965,3464109,34556,436020,1329237,327726,234421,9464030,2833502,13435550,1709797,2397446,1398515,2929044,2436757,17912943,931983,2985700,316461,494728,42559,84912,796,35141,50510,0,146789,94237,95604,25703,12941,24022,11081,37237,29442,828,19634,47545,94080,64775,471,1015,6343,0,567,0,0,0,0,19503,84507,33621,59957,93800322,2360515,0,240204,24353,198676,95201,160827,123983,36756,8808,4800,79494,0,0,0,0,6683,6510,0,0,0,30603,34009,16421,0,0,0,0,0,17218,0,0,63308,0,64,234549,4341,165741,2932,9236,69629,227222,99536,607786,340904,19856,6990,106,19245,2893,12379,2644,519242,753293,468986,0,0,-2627615,260796,14933018,235072612,
07007,石油和天然气开采产品,0,0,0,0,0,44377,535454,12748,8950,9827,15665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59262,0,0,0,187877767,8526,9977990,1945619,1130201,342725,2436140,340545,17289,26684,698850,160126,662772,0,0,0,625394,311000,196167,231164,25836,296763,49712,379846,372564,586962,86855,86493,46965,66071,23117,3532,251442,179947,112541,11282,18287,50411,196286,228955,62339,28940,52605,24260,0,0,0,0,43807,0,0,0,0,0,0,0,0,0,0,6735286,33825564,0,0,0,0,0,0,0,0,0,0,0,111,19,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507,0,0,0,0,0,0,0,0,34580,0,0,0,0,297,1459,271,48037,0,0,0,0,288641,1085317,145293939,107689567,
08008,黑色金属矿采选产品,0,0,0,0,0,0,0,8867540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265608,0,0,0,0,239790,0,59089,0,0,0,0,0,0,0,0,0,0,14089354,104046413,12244867,2756561,0,3475796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190106,1052123,87815098,60625796,
09009,有色金属矿采选产品,0,0,0,0,0,0,0,0,2104730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319757,0,3227102,36144,0,243875,0,772213,24028,24747,0,0,0,0,0,0,0,521457,1323131,14978,0,0,1770836,64253061,11256150,2875210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54638,451053,39892839,49551246,
10010,非金属矿采选产品,627,727,485,190,279,45270,20550,17205,48504,1021586,74468,486,9977,6629,2132,1447,5272,8959,2310,985,6897,5877,3569,868,6947,130,6623,564,99,3957,2904,99,2191,4480,6425,7706,151939,685,707252,43810,1438,30471,5496840,2032533,51105,486734,263933,507476,11578,134725,4979,18937,38826,13173709,5735480,10279980,4841939,8609030,2884443,3707403,145250,103064,39056,165014,72157,152767,7408,3225,3721,13901,250,9179,27155,22227,18845,14559,4249,62633,1155,164293,40727,10613,86,4237,49005,29667,503029,23525,5415,84102,0,0,0,0,528,5890,18555,3268,22979,106589,0,0,7276668,2164330,6559722,4999983,1257090,1856025,46434,14122,16051,45865,261,44,0,0,0,0,0,117048,0,0,3634,383,0,0,0,46,41,747,0,0,377,0,1679,20875,2909,972,3538,3666,2851,3499,228,2965,24,999,785,258,3776,0,616,0,21487,0,0,0,0,1556448,1829928,6939806,83357557,
